Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CLE,Andrew Wiggins,Kansas,8,582,20409,11260,2565,1355,.448,.350,.725,35.1,19.3,4.4,2.3,23.5,.055,-1.5,2.6
2,2,MIL,Jabari Parker,Duke,8,310,8535,4380,1703,610,.494,.326,.743,27.5,14.1,5.5,2.0,13.9,.078,-0.8,2.5
3,3,PHI,Joel Embiid,Kansas,6,308,9525,7888,3469,1009,.488,.335,.810,30.9,25.6,11.3,3.3,40.4,.204,5.8,18.7
4,4,ORL,Aaron Gordon,Arizona,8,509,14671,6579,3195,1268,.458,.323,.700,28.8,12.9,6.3,2.5,27.8,.091,0.0,7.3
5,5,UTA,Dante Exum,,6,245,4545,1389,441,515,.407,.305,.764,18.6,5.7,1.8,2.1,3.1,.032,-3.3,-1.5
6,6,BOS,Marcus Smart,Oklahoma State,8,503,14956,5212,1810,2192,.380,.320,.779,29.7,10.4,3.6,4.4,28.3,.091,-0.2,6.7
7,7,LAL,Julius Randle,Kentucky,8,505,15708,8901,4698,1784,.475,.332,.743,31.1,17.6,9.3,3.5,30.9,.094,0.4,9.3
8,8,SAC,Nik Stauskas,Michigan,6,337,6686,2283,691,514,.389,.354,.814,19.8,6.8,2.1,1.5,3.9,.028,-3.0,-1.7
9,9,CHH,Noah Vonleh,Indiana,7,339,5683,1660,1742,257,.459,.308,.691,16.8,4.9,5.1,0.8,9.2,.078,-2.4,-0.6
10,10,PHI,Elfrid Payton,Louisiana,8,489,13291,5015,1995,2854,.448,.288,.624,27.2,10.3,4.1,5.8,15.9,.057,-0.9,3.8
11,11,DEN,Doug McDermott,Creighton,8,522,10916,4811,1232,491,.477,.411,.819,20.9,9.2,2.4,0.9,19.3,.085,-1.8,0.5
12,12,ORL,Dario Šarić,,5,356,8965,4180,2086,699,.441,.357,.838,25.2,11.7,5.9,2.0,16.4,.088,-0.8,2.6
13,13,MIN,Zach LaVine,UCLA,8,461,14622,9057,1809,1780,.461,.387,.830,31.7,19.6,3.9,3.9,22.3,.073,0.4,8.8
14,14,PHO,T.J. Warren,NC State,7,332,9553,5142,1372,397,.507,.357,.780,28.8,15.5,4.1,1.2,19.6,.099,-0.2,4.2
15,15,ATL,Adreian Payne,Michigan State,4,107,1403,429,315,66,.406,.254,.680,13.1,4.0,2.9,0.6,-0.6,-.019,-5.9,-1.4
16,16,CHI,Jusuf Nurkić,,8,411,9815,5015,3513,903,.500,.232,.672,23.9,12.2,8.5,2.2,23.9,.117,0.5,6.2
17,17,BOS,James Young,Kentucky,4,95,812,219,96,28,.367,.277,.563,8.5,2.3,1.0,0.3,0.8,.046,-3.4,-0.3
18,18,PHO,Tyler Ennis,Syracuse,4,186,2336,779,250,359,.419,.317,.768,12.6,4.2,1.3,1.9,1.3,.026,-3.4,-0.8
19,19,CHI,Gary Harris,Michigan State,8,461,13320,5465,1152,958,.448,.362,.810,28.9,11.9,2.5,2.1,20.5,.074,-1.4,2.1
20,20,TOR,Bruno Caboclo,,7,105,1293,442,268,72,.403,.308,.836,12.3,4.2,2.6,0.7,1.5,.054,-2.7,-0.2
21,21,OKC,Mitch McGary,Michigan,2,52,557,227,183,17,.527,.000,.580,10.7,4.4,3.5,0.3,1.3,.108,-2.6,-0.1
22,22,MEM,Jordan Adams,UCLA,2,32,263,101,30,19,.402,.385,.607,8.2,3.2,0.9,0.6,0.4,.070,1.7,0.2
23,23,UTA,Rodney Hood,Duke,8,438,10867,4622,1151,729,.419,.364,.841,24.8,10.6,2.6,1.7,17.2,.076,-1.2,2.1
24,24,CHH,Shabazz Napier,UConn,6,345,5986,2433,657,849,.397,.345,.815,17.4,7.1,1.9,2.5,8.1,.065,-0.7,2.0
25,25,HOU,Clint Capela,,8,450,12051,5593,4786,443,.622,.000,.527,26.8,12.4,10.6,1.0,50.2,.200,2.0,12.1
26,26,MIA,P.J. Hairston,UNC,2,111,2000,664,266,59,.343,.295,.810,18.0,6.0,2.4,0.5,0.9,.021,-3.9,-1.0
27,27,PHO,Bogdan Bogdanović,,5,296,8446,4148,1002,1007,.441,.386,.814,28.5,14.0,3.4,3.4,14.8,.084,0.3,5.0
28,28,LAC,C.J. Wilcox,Washington,3,66,376,132,31,30,.370,.333,.813,5.7,2.0,0.5,0.5,0.1,.007,-4.3,-0.2
29,29,OKC,Josh Huestis,Stanford,3,76,1068,187,180,23,.346,.312,.240,14.1,2.5,2.4,0.3,0.7,.030,-3.5,-0.4
30,30,SAS,Kyle Anderson,UCLA,8,486,10187,3219,2120,1119,.476,.336,.714,21.0,6.6,4.4,2.3,25.9,.122,1.7,9.6
31,31,MIL,Damien Inglis,,1,20,156,36,31,10,.351,.231,.875,7.8,1.8,1.6,0.5,-0.1,-.024,-5.6,-0.1
32,32,PHI,K.J. McDaniels,Clemson,3,148,2092,782,324,95,.412,.290,.776,14.1,5.3,2.2,0.6,1.3,.030,-2.8,-0.4
33,33,CLE,Joe Harris,Virginia,8,414,10601,4584,1344,679,.483,.439,.780,25.6,11.1,3.2,1.6,20.5,.093,-0.6,3.9
34,34,NYK,Cleanthony Early,Wichita State,2,56,801,241,123,42,.346,.263,.750,14.3,4.3,2.2,0.8,-0.6,-.039,-5.9,-0.8
35,35,UTA,Jarnell Stokes,Tennessee,3,28,151,67,40,7,.581,,.531,5.4,2.4,1.4,0.3,0.6,.202,0.1,0.1
36,36,MIL,Johnny O'Bryant,LSU,4,147,1684,509,352,69,.402,.360,.663,11.5,3.5,2.4,0.5,0.2,.006,-6.2,-1.8
37,37,TOR,DeAndre Daniels,UConn,,,,,,,,,,,,,,,,,
38,38,DET,Spencer Dinwiddie,Colorado,8,369,9691,4749,1108,1865,.408,.318,.793,26.3,12.9,3.0,5.1,20.9,.103,0.2,5.4
39,39,PHI,Jerami Grant,Syracuse,8,545,14148,6131,2150,727,.452,.346,.720,26.0,11.2,3.9,1.3,27.2,.092,-0.5,5.2
40,40,MIN,Glenn Robinson III,Michigan,7,304,5299,1804,776,238,.457,.373,.779,17.4,5.9,2.6,0.8,7.9,.071,-1.7,0.4
41,41,DEN,Nikola Jokić,,7,508,15355,9763,5195,3138,.538,.350,.831,30.2,19.2,10.2,6.2,75.6,.236,8.7,41.5
42,42,HOU,Nick Johnson,Arizona,1,28,262,74,39,11,.347,.238,.680,9.4,2.6,1.4,0.4,-0.1,-.020,-6.5,-0.3
43,43,ATL,Edy Tavares,,2,13,101,33,32,4,.625,,.273,7.8,2.5,2.5,0.3,0.2,.118,-0.4,0.0
44,44,MIN,Markel Brown,Oklahoma State,3,113,1794,584,234,132,.380,.295,.781,15.9,5.2,2.1,1.2,1.1,.029,-2.9,-0.4
45,45,CHH,Dwight Powell,Stanford,8,491,9201,3678,2223,494,.578,.300,.746,18.7,7.5,4.5,1.0,35.2,.184,1.2,7.6
46,46,WAS,Jordan Clarkson,Missouri,8,578,15550,8836,1888,1466,.439,.339,.828,26.9,15.3,3.3,2.5,20.4,.063,-0.5,5.9
47,47,PHI,Russ Smith,Louisville,2,27,131,53,15,19,.319,.188,.769,4.9,2.0,0.6,0.7,-0.2,-.068,-5.1,-0.1
48,48,MIL,Lamar Patterson,Pitt,2,40,435,93,57,45,.326,.236,.720,10.9,2.3,1.4,1.1,0.1,.006,-5.7,-0.4
49,49,CHI,Cameron Bairstow,New Mexico,2,36,167,44,36,7,.296,.200,.846,4.6,1.2,1.0,0.2,-0.1,-.021,-8.1,-0.3
50,50,PHO,Alec Brown,Green Bay,,,,,,,,,,,,,,,,,
51,51,NYK,Thanasis Antetokounmpo,,4,117,1055,332,231,80,.496,.157,.522,9.0,2.8,2.0,0.7,1.5,.066,-3.6,-0.4
52,52,PHI,Vasilije Micić,,,,,,,,,,,,,,,,,,
53,53,MIN,Alessandro Gentile,,,,,,,,,,,,,,,,,,
54,54,PHI,Nemanja Dangubić,,,,,,,,,,,,,,,,,,
55,55,MIA,Semaj Christon,Xavier,1,64,973,183,87,130,.345,.190,.548,15.2,2.9,1.4,2.0,0.1,.006,-5.1,-0.8
56,56,DEN,Devyn Marble,Iowa,2,44,457,97,69,29,.304,.222,.375,10.4,2.2,1.6,0.7,-0.3,-.028,-5.5,-0.4
57,57,IND,Louis Labeyrie,,,,,,,,,,,,,,,,,,
58,58,SAS,Jordan McRae,Tennessee,4,123,1696,846,225,167,.417,.355,.772,13.8,6.9,1.8,1.4,1.7,.048,-2.1,0.0
59,59,TOR,Xavier Thames,San Diego State,,,,,,,,,,,,,,,,,
60,60,SAS,Cory Jefferson,Baylor,2,58,581,205,161,16,.444,.125,.583,10.0,3.5,2.8,0.3,0.9,.071,-3.3,-0.2
